ID,Fecha,Prom_ProyectadoXDia_Km2,Prom_ProyectadoXDia_Permisos,Desempeno_Proyectado_Km2_Sumatoria,No_GestoresProyectados,Desempeno_Proyectado_Permisos_Sumatoria,PermisosDia_Real,PermisosDia_Real_Sumatoria,Km2_Diarios,Prom_RealXDia,No_GestoresXDia,RendimientoXGestor_Km2,RendimientoXGestor_Permisos,Desempeno_Real_Km2_Sumatoria,Deficit_Km2_DelTotal,Deficit_Permisos
0,15/01/2024,3,36,3,12,36,23,23,2.316,2.316,5,0.4632,4.6,2.316,0.684,13
1,16/01/2024,3,36,6,12,72,14,37,1.374,1.374,5,0.2748,2.8,3.69,2.31,35
2,17/01/2024,3,36,9,12,108,13,50,5.952,5.952,5,1.1904,2.6,9.642,-0.642,58
3,18/01/2024,3,36,12,12,144,14,64,1.626,1.626,5,0.3252,2.8,11.268,0.732,80
4,19/01/2024,3,36,15,12,180,17,81,1.536,1.536,5,0.3072,3.4,12.804,2.196,99
5,20/01/2024,3,36,18,12,216,18,99,7.377,7.377,5,1.4754,3.6,20.181,-2.181,117
6,21/01/2024,3,36,21,12,252,27,126,6.171,6.171,6,1.0285,4.5,26.352,-5.352,126
7,22/01/2024,3,36,24,12,288,29,155,6.986,6.986,7,0.998,4.142857143,33.338,-9.338,133
8,23/01/2024,3,36,27,12,324,15,170,0.85,0.85,7,0.121428571,2.142857143,34.188,-7.188,154
9,24/01/2024,3,36,30,12,360,23,193,2.769,2.769,7,0.395571429,3.285714286,36.957,-6.957,167
10,25/01/2024,3,36,33,12,396,15,208,1.05,1.05,7,0.15,2.142857143,38.007,-5.007,188
11,26/01/2024,3,36,36,12,432,27,235,1.794,1.794,11,0.163090909,2.454545455,39.801,-3.801,197
12,27/01/2024,3,36,39,12,468,14,249,1.235,1.235,11,0.112272727,1.272727273,41.036,-2.036,219
13,28/01/2024,3,36,42,12,504,28,277,1.529,1.529,10,0.1529,2.8,42.565,-0.565,227
14,29/01/2024,3,36,45,12,540,91,368,5.621,5.621,10,0.5621,9.1,48.186,-3.186,172
15,30/01/2024,3,36,48,12,576,82,450,5.609,5.609,10,0.5609,8.2,53.795,-5.795,126
16,31/01/2024,3,36,51,12,612,75,525,4.636,4.636,10,0.4636,7.5,58.431,-7.431,87
17,01/02/2024,3,36,54,12,648,74,599,3.562,3.562,13,0.274,5.692307692,61.993,-7.993,49
18,02/02/2024,3,36,57,12,684,73,672,4.793,4.793,13,0.368692308,5.615384615,66.786,-9.786,12
19,03/02/2024,3,36,60,12,720,56,728,3.784,3.784,13,0.291076923,4.307692308,70.57,-10.57,-8
20,04/02/2024,7,85,67,25,805,67,795,5.136,5.136,20,0.2568,3.35,75.706,-8.706,10
21,05/02/2024,7,85,74,25,890,67,862,3.968,3.968,22,0.180363636,3.045454545,79.674,-5.674,28
22,06/02/2024,7,85,81,25,975,64,926,7.064,7.064,17,0.415529412,3.764705882,86.738,-5.738,49
23,07/02/2024,7,85,88,25,1060,62,988,5.061,5.061,22,0.230045455,2.818181818,91.799,-3.799,72
24,08/02/2024,7,85,95,25,1145,59,1047,4.328,4.328,22,0.196727273,2.681818182,96.127,-1.127,98
25,09/02/2024,7,85,102,25,1230,59,1106,6.406,6.406,23,0.278521739,2.565217391,102.533,-0.533,124
26,10/02/2024,7,85,109,25,1315,100,1206,8.45,8.45,24,0.352083333,4.166666667,110.983,-1.983,109
27,11/02/2024,7,85,116,25,1400,109,1315,4.974,4.974,24,0.20725,4.541666667,115.957,0.043,85
28,12/02/2024,7,85,123,25,1485,62,1377,4.136,4.136,24,0.172333333,2.583333333,120.093,2.907,108
29,13/02/2024,7,85,130,25,1570,73,1450,7.222,7.222,24,0.300916667,3.041666667,127.315,2.685,120
30,14/02/2024,7,85,137,25,1655,83,1533,4.359,4.359,29,0.150310345,2.862068966,131.674,5.326,122
31,15/02/2024,7,85,144,25,1740,84,1617,4.12,4.12,29,0.142068966,2.896551724,135.794,8.206,123
32,16/02/2024,7,85,151,25,1825,74,1691,3.575,3.575,33,0.108333333,2.242424242,139.369,11.631,134
33,17/02/2024,7,85,158,25,1910,86,1777,5.433,5.433,34,0.159794118,2.529411765,144.802,13.198,133
34,18/02/2024,7,85,165,25,1995,,,,,,,,,,
35,19/02/2024,7,85,172,25,2080,,,,,,,,,,
36,20/02/2024,7,85,179,25,2165,,,,,,,,,,
37,21/02/2024,7,85,186,25,2250,,,,,,,,,,
38,22/02/2024,7,85,193,25,2335,,,,,,,,,,
39,23/02/2024,7,85,200,25,2420,,,,,,,,,,
40,24/02/2024,7,85,207,25,2505,,,,,,,,,,
41,25/02/2024,7,85,214,25,2590,,,,,,,,,,
42,26/02/2024,7,85,221,25,2675,,,,,,,,,,
43,27/02/2024,7,85,228,25,2760,,,,,,,,,,
44,28/02/2024,7,85,235,25,2845,,,,,,,,,,
45,29/02/2024,7,85,242,25,2930,,,,,,,,,,
46,01/03/2024,7,85,249,25,3015,,,,,,,,,,
47,02/03/2024,7,85,256,25,3100,,,,,,,,,,
48,03/03/2024,7,85,263,25,3185,,,,,,,,,,
49,04/03/2024,7,85,270,25,3270,,,,,,,,,,
50,05/03/2024,7,85,277,25,3355,,,,,,,,,,
51,06/03/2024,7,85,284,25,3440,,,,,,,,,,
52,07/03/2024,7,85,291,25,3525,,,,,,,,,,
53,08/03/2024,7,85,298,25,3610,,,,,,,,,,
54,09/03/2024,7,85,305,25,3695,,,,,,,,,,
55,10/03/2024,7,85,312,25,3780,,,,,,,,,,
56,11/03/2024,7,85,319,25,3865,,,,,,,,,,
57,12/03/2024,7,85,326,25,3950,,,,,,,,,,
58,13/03/2024,7,85,333,25,4035,,,,,,,,,,
59,14/03/2024,7,85,340,25,4120,,,,,,,,,,
60,15/03/2024,7,85,347,25,4205,,,,,,,,,,
